student_id,name,programme,level,semester,gpa,attendance,credit_ratio,failed_modules,financial_flag,repeated_course,probation,dropout
UEN/CS/2020/043,Owusu Frimpong,Computer Science,100,2,2.84,69.9,0.607,1,0,0,0,0
UEN/EE/2020/044,Kwabena Danso,Electrical Eng.,100,1,3.63,87.8,0.882,0,0,0,0,0
UEN/EE/2022/045,Owusu Darko,Electrical Eng.,300,1,4.0,98.1,1.032,0,0,0,0,0
UEN/EE/2022/046,Ewurama Nyarko,Electrical Eng.,300,2,3.25,81.7,0.885,1,0,0,0,0
UEN/EE/2022/047,Ato Mensah,Electrical Eng.,300,2,3.71,86.6,0.69,2,0,0,0,0
UEN/EE/2022/048,Kwadwo Mensah,Electrical Eng.,300,1,4.0,98.7,1.026,0,0,0,0,0
UEN/ME/2023/049,Fiifi Kumi,Mech. Engineering,400,2,3.38,100.0,0.922,0,0,0,0,0
UEN/EE/2020/050,Ewurama Kumi,Electrical Eng.,100,2,3.83,89.0,1.047,0,0,0,0,0
UEN/CS/2020/051,Asante Boateng,Computer Science,100,2,3.02,72.3,0.875,1,0,0,0,0
UEN/ME/2021/052,Efua Acheampong,Mech. Engineering,200,2,2.76,72.7,0.685,1,0,0,0,0
UEN/EE/2020/053,Fiifi Mensah,Electrical Eng.,100,1,2.94,74.7,0.695,1,0,0,0,0
UEN/EE/2022/054,Esi Bonsu,Electrical Eng.,300,1,2.45,89.9,0.917,2,0,0,0,0
UEN/BA/2023/055,Kojo Osei,Business Admin.,400,2,3.57,98.5,1.127,1,0,0,0,0
UEN/BA/2022/056,Kweku Appiah,Business Admin.,300,2,2.79,86.8,0.827,2,0,0,0,0
UEN/BA/2020/057,Kobby Fordjour,Business Admin.,100,1,3.08,96.5,0.819,0,0,0,0,0
UEN/BA/2022/058,Abena Agyei,Business Admin.,300,2,3.45,100.0,0.887,0,0,0,0,0
UEN/EE/2022/059,Abena Acheampong,Electrical Eng.,300,2,2.91,100.0,1.186,0,0,0,0,0
UEN/BA/2021/060,Ato Addo,Business Admin.,200,1,3.09,68.1,0.87,2,0,0,0,0
UEN/EE/2020/061,Nana Kumi,Electrical Eng.,100,1,3.73,100.0,0.849,0,0,0,0,0
UEN/CS/2021/062,Kojo Danso,Computer Science,200,2,2.96,73.4,0.772,2,0,0,0,0
UEN/EE/2023/063,Fiifi Barimah,Electrical Eng.,400,1,2.62,91.2,0.764,2,0,0,0,1
UEN/EE/2021/064,Asante Ntiamoah,Electrical Eng.,200,2,2.62,81.7,0.651,3,0,0,0,1
UEN/CS/2023/065,Serwaa Appiah,Computer Science,400,2,3.21,95.3,0.839,0,0,0,0,0
UEN/EE/2020/066,Esi Mensah,Electrical Eng.,100,1,3.86,93.6,1.007,1,0,0,0,0
UEN/EE/2021/067,Kobby Kumi,Electrical Eng.,200,1,2.76,52.1,0.554,1,0,0,0,1
UEN/CS/2021/068,Esi Agyei,Computer Science,200,1,2.35,73.2,0.669,3,0,1,0,1
UEN/CS/2020/069,Maame Agyemang,Computer Science,100,2,2.29,74.8,0.854,2,0,0,0,1
UEN/ME/2021/070,Esi Ntiamoah,Mech. Engineering,200,2,3.78,96.3,0.956,0,0,0,0,0
UEN/EE/2021/071,Ohemaa Kumi,Electrical Eng.,200,2,2.63,95.0,0.989,1,0,0,0,0
UEN/ME/2022/072,Efua Ansah,Mech. Engineering,300,1,2.78,66.4,0.764,1,0,0,0,0
UEN/ME/2022/073,Kobby Appiah,Mech. Engineering,300,1,2.93,74.7,0.682,1,0,0,0,0
UEN/BA/2023/074,Kobby Osei,Business Admin.,400,1,3.47,83.0,0.789,0,0,0,0,0
UEN/BA/2022/075,Poku Asante,Business Admin.,300,2,3.07,79.0,0.862,1,0,0,0,0
UEN/CS/2023/076,Owusu Kumi,Computer Science,400,2,3.26,100.0,0.773,0,0,0,0,0
UEN/BA/2023/077,Fiifi Agyei,Business Admin.,400,2,2.5,54.0,0.592,3,1,1,0,1
UEN/BA/2020/078,Kwame Twumasi,Business Admin.,100,1,2.87,80.9,1.098,1,0,0,0,0
UEN/EE/2022/079,Abena Ntiamoah,Electrical Eng.,300,2,3.4,91.3,0.928,0,0,0,0,0
UEN/ME/2020/080,Kwesi Nyarko,Mech. Engineering,100,2,4.0,84.6,0.912,0,0,0,0,0
UEN/CS/2020/081,Akua Mensah,Computer Science,100,1,1.99,60.6,0.613,6,1,1,0,1
UEN/EE/2022/082,Barimah Danso,Electrical Eng.,300,1,3.35,98.0,0.828,0,0,0,0,0
UEN/CS/2021/083,Serwaa Owusu,Computer Science,200,2,4.0,88.2,0.772,0,0,0,0,0
UEN/ME/2020/084,Akosua Kumi,Mech. Engineering,100,1,3.09,87.9,0.817,1,0,0,0,0
UEN/CS/2020/085,Asante Nyarko,Computer Science,100,1,3.0,85.5,0.798,1,0,0,0,0
UEN/CS/2023/086,Kweku Fordjour,Computer Science,400,2,2.36,74.9,0.85,1,0,0,0,0
UEN/ME/2021/087,Ama Agyemang,Mech. Engineering,200,2,1.56,73.8,0.343,1,0,0,0,1
UEN/CS/2023/088,Akosua Nyarko,Computer Science,400,2,4.0,96.1,1.002,0,0,0,0,0
UEN/ME/2021/089,Adwoa Quartey,Mech. Engineering,200,1,3.38,83.4,0.803,1,0,0,0,0
UEN/EE/2023/090,Ohemaa Adjei,Electrical Eng.,400,2,3.31,98.5,0.996,0,0,0,0,0
UEN/CS/2022/091,Nana Addo,Computer Science,300,2,3.14,78.0,0.756,1,0,0,0,0
UEN/ME/2021/092,Kweku Addo,Mech. Engineering,200,2,2.68,75.7,0.829,1,0,0,0,0
UEN/EE/2021/093,Ohemaa Tawiah,Electrical Eng.,200,1,3.55,90.4,0.75,0,0,0,0,0
UEN/BA/2023/094,Afia Frimpong,Business Admin.,400,1,3.52,97.8,0.962,1,0,0,0,0
UEN/EE/2022/095,Maame Boateng,Electrical Eng.,300,2,4.0,99.9,0.933,0,0,0,0,0
UEN/EE/2023/096,Kofi Appiah,Electrical Eng.,400,2,2.65,87.9,0.871,1,0,0,0,0
UEN/EE/2020/097,Kweku Darko,Electrical Eng.,100,1,2.97,82.7,1.063,1,0,0,0,0
UEN/CS/2022/098,Kobby Sarpong,Computer Science,300,2,3.53,79.3,0.943,1,0,0,0,0
UEN/CS/2021/099,Efua Amoah,Computer Science,200,1,2.32,57.0,0.607,2,0,0,0,1
UEN/BA/2023/100,Barimah Mensah,Business Admin.,400,2,2.43,71.1,0.661,1,0,0,0,0
UEN/ME/2020/101,Kojo Barimah,Mech. Engineering,100,1,3.38,100.0,1.078,0,0,0,0,0
UEN/ME/2021/102,Akua Ntiamoah,Mech. Engineering,200,1,2.48,83.3,0.642,2,0,0,0,0
UEN/EE/2022/103,Ama Sarpong,Electrical Eng.,300,2,4.0,90.8,0.972,0,0,0,0,0
UEN/CS/2020/104,Abena Darko,Computer Science,100,2,3.99,89.0,0.874,1,0,0,0,0
UEN/EE/2023/105,Barimah Bonsu,Electrical Eng.,400,1,3.23,86.0,1.032,0,0,0,0,0
UEN/CS/2020/106,Ato Agyei,Computer Science,100,1,3.58,94.7,0.883,1,0,0,0,0
UEN/BA/2021/107,Maame Agyemang,Business Admin.,200,2,1.73,61.2,0.616,2,0,0,0,1
UEN/ME/2022/108,Serwaa Acheampong,Mech. Engineering,300,1,2.96,73.2,0.803,2,0,0,0,0
UEN/EE/2021/109,Afia Antwi,Electrical Eng.,200,1,3.58,81.1,0.889,0,0,0,0,0
UEN/CS/2023/110,Efua Darko,Computer Science,400,2,2.91,84.3,0.564,2,0,1,0,1
UEN/CS/2020/111,Ohemaa Twumasi,Computer Science,100,1,2.5,68.9,0.988,1,0,0,0,0
UEN/BA/2020/112,Fiifi Nyarko,Business Admin.,100,1,1.54,46.1,0.521,3,0,0,0,1
UEN/ME/2020/113,Ewurama Frimpong,Mech. Engineering,100,1,2.82,71.9,0.691,1,0,0,0,0
UEN/ME/2021/114,Ato Frimpong,Mech. Engineering,200,1,3.19,93.8,0.942,1,0,0,0,0
UEN/EE/2021/115,Adjoa Bonsu,Electrical Eng.,200,1,1.93,77.7,0.851,2,0,0,0,1
UEN/BA/2021/116,Kwabena Adjei,Business Admin.,200,1,3.56,86.8,0.94,0,0,0,0,0
UEN/BA/2021/117,Adjoa Agyei,Business Admin.,200,2,3.46,78.6,0.854,1,0,0,0,0
UEN/CS/2020/118,Ato Barimah,Computer Science,100,2,1.65,52.1,0.761,2,0,0,0,1
UEN/EE/2023/119,Akosua Twumasi,Electrical Eng.,400,2,1.95,75.6,0.82,3,0,0,0,0
UEN/BA/2023/120,Kwadwo Nyarko,Business Admin.,400,1,3.18,90.5,1.108,0,0,0,0,0
UEN/EE/2020/121,Esi Agyemang,Electrical Eng.,100,2,3.51,94.9,0.77,0,0,0,0,0
UEN/CS/2022/122,Kwame Barimah,Computer Science,300,2,3.32,72.9,0.843,0,0,0,0,0
UEN/EE/2020/123,Kobby Antwi,Electrical Eng.,100,2,3.65,100.0,0.876,0,0,0,0,0
UEN/EE/2020/124,Ato Antwi,Electrical Eng.,100,2,3.51,100.0,0.938,0,0,0,0,0
UEN/ME/2023/125,Kwame Darko,Mech. Engineering,400,2,2.8,77.1,0.779,1,0,0,0,0
UEN/CS/2023/126,Kobby Darko,Computer Science,400,1,3.26,88.7,0.883,3,0,0,0,0
UEN/ME/2020/127,Ama Ntiamoah,Mech. Engineering,100,2,3.35,57.9,0.777,1,0,0,0,0
UEN/EE/2021/128,Kwadwo Ansah,Electrical Eng.,200,2,2.47,86.9,0.697,1,0,0,0,0
UEN/CS/2023/129,Barimah Acheampong,Computer Science,400,2,2.65,74.8,0.716,1,0,0,0,0
UEN/BA/2023/130,Ato Amoah,Business Admin.,400,1,3.67,68.7,0.939,1,0,0,0,0
UEN/CS/2020/131,Efua Ansah,Computer Science,100,1,2.72,85.0,0.756,1,0,0,0,0
UEN/EE/2020/132,Adjoa Tawiah,Electrical Eng.,100,1,2.48,63.3,0.788,1,0,0,0,0
UEN/EE/2023/133,Efua Frimpong,Electrical Eng.,400,1,3.17,75.2,0.792,2,0,0,0,0
UEN/ME/2021/134,Esi Frimpong,Mech. Engineering,200,1,3.72,85.7,1.096,0,0,0,0,0
UEN/EE/2022/135,Kwesi Agyemang,Electrical Eng.,300,2,3.58,81.6,0.783,0,0,0,0,0
UEN/BA/2020/136,Nana Twumasi,Business Admin.,100,2,1.6,72.6,0.413,2,1,1,0,1
UEN/EE/2023/137,Adwoa Mensah,Electrical Eng.,400,2,3.15,83.6,0.76,1,0,0,0,0
UEN/BA/2022/138,Kofi Asante,Business Admin.,300,2,3.61,79.3,0.831,0,0,0,0,0
UEN/EE/2020/139,Nana Mensah,Electrical Eng.,100,1,2.94,79.9,0.849,1,0,0,0,0
UEN/EE/2020/140,Fiifi Acheampong,Electrical Eng.,100,1,2.8,78.2,0.609,2,0,0,0,0
UEN/EE/2020/141,Ewurama Quartey,Electrical Eng.,100,2,4.0,89.2,1.186,0,0,0,0,0
UEN/BA/2023/142,Barimah Owusu,Business Admin.,400,1,3.59,90.1,1.046,1,0,0,0,0
UEN/BA/2021/143,Ama Fordjour,Business Admin.,200,1,3.3,89.5,0.873,0,0,0,0,0
UEN/ME/2021/144,Akosua Darko,Mech. Engineering,200,1,2.82,78.1,0.716,1,0,0,0,0
UEN/EE/2021/145,Serwaa Amoah,Electrical Eng.,200,2,2.88,86.3,0.964,1,0,0,0,0
UEN/CS/2021/146,Asante Danso,Computer Science,200,1,2.14,85.9,0.685,1,0,0,0,0
UEN/EE/2023/147,Kwesi Quartey,Electrical Eng.,400,2,3.64,100.0,0.812,1,0,0,0,0
UEN/EE/2020/148,Adjoa Ntiamoah,Electrical Eng.,100,2,3.35,86.1,0.92,0,0,0,0,0
UEN/CS/2020/149,Akua Asante,Computer Science,100,1,1.92,69.9,0.657,3,0,0,0,1
UEN/ME/2020/150,Barimah Nyarko,Mech. Engineering,100,2,2.55,71.8,0.747,2,0,0,0,1
UEN/EE/2023/151,Kweku Mensah,Electrical Eng.,400,1,2.73,85.0,0.834,1,0,0,0,0
UEN/EE/2022/152,Efua Adjei,Electrical Eng.,300,2,3.43,78.1,0.945,1,0,0,0,0
UEN/ME/2023/153,Kofi Tawiah,Mech. Engineering,400,1,3.54,90.1,0.929,1,0,0,0,0
UEN/ME/2023/154,Yaw Acheampong,Mech. Engineering,400,1,2.38,61.8,0.648,2,0,0,0,1
UEN/BA/2021/155,Akua Tawiah,Business Admin.,200,1,3.19,75.6,0.641,2,0,0,0,0
UEN/ME/2020/156,Akosua Quartey,Mech. Engineering,100,1,3.55,81.4,0.855,0,0,0,0,0
UEN/BA/2022/157,Kobby Kumi,Business Admin.,300,1,3.39,73.6,0.982,0,0,0,0,0
UEN/ME/2023/158,Afia Amoah,Mech. Engineering,400,1,3.86,80.2,0.848,1,0,0,0,0
UEN/CS/2023/159,Kweku Quartey,Computer Science,400,2,3.03,71.5,0.779,1,0,0,0,0
UEN/EE/2020/160,Kwadwo Agyemang,Electrical Eng.,100,2,3.6,79.1,0.963,1,0,0,0,0
UEN/BA/2021/161,Adjoa Boateng,Business Admin.,200,2,3.69,93.0,1.05,0,0,0,0,0
UEN/BA/2020/162,Afia Quartey,Business Admin.,100,1,3.23,90.4,0.794,0,0,0,0,0
UEN/EE/2022/163,Kwame Nyarko,Electrical Eng.,300,2,3.83,96.2,0.903,0,0,0,0,0
UEN/EE/2022/164,Kow Boateng,Electrical Eng.,300,1,2.19,77.2,0.838,2,0,0,0,1
UEN/CS/2020/165,Poku Boateng,Computer Science,100,1,2.97,80.0,0.811,2,0,0,0,0
UEN/BA/2021/166,Ama Danso,Business Admin.,200,1,3.47,87.3,0.877,2,0,0,0,0
UEN/CS/2021/167,Ama Owusu,Computer Science,200,2,3.47,74.7,0.993,0,0,0,0,0
UEN/EE/2023/168,Ewurama Danso,Electrical Eng.,400,1,3.19,92.0,0.866,0,0,0,0,0
UEN/EE/2022/169,Barimah Frimpong,Electrical Eng.,300,1,3.23,89.0,0.977,1,0,0,0,0
UEN/CS/2022/170,Ohemaa Appiah,Computer Science,300,2,3.79,92.3,1.015,0,0,0,0,0
UEN/BA/2020/171,Kow Darko,Business Admin.,100,1,3.58,92.4,0.871,1,0,0,0,0
UEN/CS/2023/172,Kwadwo Tawiah,Computer Science,400,2,3.33,81.3,0.802,0,0,0,0,0
UEN/EE/2021/173,Esi Ntiamoah,Electrical Eng.,200,2,3.91,81.7,1.004,0,0,0,0,0
UEN/BA/2023/174,Akosua Appiah,Business Admin.,400,1,1.95,71.6,0.679,1,0,0,0,0
UEN/EE/2020/175,Adjoa Addo,Electrical Eng.,100,1,3.72,81.9,0.915,1,0,0,0,0
UEN/ME/2023/176,Kojo Ntiamoah,Mech. Engineering,400,2,0.66,49.7,0.648,3,0,1,0,1
UEN/ME/2021/177,Kwadwo Antwi,Mech. Engineering,200,2,3.69,76.3,0.861,1,0,0,0,0
UEN/CS/2023/178,Serwaa Danso,Computer Science,400,2,2.57,81.2,0.681,2,0,0,0,0
UEN/CS/2022/179,Abena Agyei,Computer Science,300,2,3.02,86.4,0.938,1,0,0,0,0
UEN/ME/2022/180,Kwadwo Agyemang,Mech. Engineering,300,1,3.19,80.3,0.911,0,0,0,0,0
UEN/CS/2021/181,Afia Barimah,Computer Science,200,2,2.89,93.0,0.679,0,0,0,0,0
UEN/CS/2021/182,Kofi Frimpong,Computer Science,200,1,2.85,80.5,0.848,1,0,0,0,0
UEN/EE/2020/183,Afia Barimah,Electrical Eng.,100,1,3.29,86.9,0.835,3,0,0,0,0
UEN/EE/2022/184,Ewurama Frimpong,Electrical Eng.,300,2,2.99,96.9,0.936,0,0,0,0,0
UEN/ME/2021/185,Kow Owusu,Mech. Engineering,200,1,3.0,78.7,0.707,1,0,0,0,0
UEN/EE/2023/186,Poku Danso,Electrical Eng.,400,1,2.95,93.4,0.78,1,0,0,0,0
UEN/CS/2021/187,Ewurama Acheampong,Computer Science,200,2,3.36,88.1,1.02,1,0,0,0,0
UEN/EE/2023/188,Kow Nyarko,Electrical Eng.,400,1,3.1,69.0,0.904,1,0,0,0,0
UEN/BA/2020/189,Asante Asante,Business Admin.,100,1,2.79,99.3,0.882,0,0,0,0,0
UEN/EE/2020/190,Asante Appiah,Electrical Eng.,100,2,2.76,67.5,0.589,1,0,0,0,0
UEN/CS/2021/191,Owusu Ntiamoah,Computer Science,200,1,2.4,70.7,0.561,4,0,0,0,1
UEN/EE/2021/192,Ohemaa Quartey,Electrical Eng.,200,1,3.36,84.2,0.913,1,0,0,0,0
UEN/ME/2020/193,Fiifi Addo,Mech. Engineering,100,2,2.7,73.1,0.912,2,0,0,0,0
UEN/CS/2021/194,Poku Sarpong,Computer Science,200,2,2.9,81.4,0.819,2,0,0,0,0
UEN/EE/2021/195,Kwesi Kumi,Electrical Eng.,200,1,3.02,88.0,0.953,1,0,0,0,0
UEN/ME/2022/196,Ato Amoah,Mech. Engineering,300,1,3.14,81.6,0.916,1,0,0,0,0
UEN/ME/2020/197,Kwesi Asante,Mech. Engineering,100,1,3.14,86.9,0.852,0,0,0,0,0
UEN/CS/2023/198,Ewurama Owusu,Computer Science,400,2,3.35,78.0,0.788,1,0,0,0,0
UEN/ME/2021/199,Kwame Boateng,Mech. Engineering,200,1,2.69,79.1,0.789,0,0,0,0,0
UEN/EE/2021/200,Kobby Acheampong,Electrical Eng.,200,2,3.83,98.8,0.902,0,0,0,0,0
UEN/BA/2020/201,Ato Danso,Business Admin.,100,2,4.0,100.0,1.037,0,0,0,0,0
UEN/EE/2021/202,Nana Frimpong,Electrical Eng.,200,2,2.95,75.1,0.762,2,0,0,0,0
UEN/BA/2023/203,Abena Appiah,Business Admin.,400,1,3.73,98.4,1.035,0,0,0,0,0
UEN/BA/2020/204,Ohemaa Ntiamoah,Business Admin.,100,2,2.97,74.0,0.81,2,0,0,0,0
UEN/CS/2022/205,Kweku Nyarko,Computer Science,300,2,1.94,81.2,0.593,2,0,0,0,1
UEN/BA/2020/206,Ama Darko,Business Admin.,100,1,3.34,86.3,0.762,1,0,0,0,0
UEN/CS/2020/207,Kwame Acheampong,Computer Science,100,2,4.0,84.9,0.977,0,0,0,0,0
UEN/BA/2023/208,Serwaa Fordjour,Business Admin.,400,2,4.0,100.0,1.049,1,0,0,0,0
UEN/ME/2020/209,Afia Asante,Mech. Engineering,100,2,2.51,94.3,0.737,1,0,0,0,0
UEN/BA/2021/210,Adwoa Bonsu,Business Admin.,200,1,2.99,95.3,0.868,1,0,0,0,0
UEN/CS/2020/211,Kofi Ntiamoah,Computer Science,100,2,3.31,87.3,0.883,0,0,0,0,0
UEN/ME/2020/212,Kobby Adjei,Mech. Engineering,100,2,3.23,95.9,0.882,1,0,0,0,0
UEN/EE/2023/213,Ewurama Bonsu,Electrical Eng.,400,1,3.02,86.5,0.957,1,0,0,0,0
UEN/CS/2021/214,Ato Antwi,Computer Science,200,2,3.6,79.6,0.713,0,0,0,0,0
UEN/CS/2020/215,Ewurama Twumasi,Computer Science,100,1,2.73,66.4,0.474,2,0,0,0,1
UEN/ME/2021/216,Ewurama Nyarko,Mech. Engineering,200,2,3.79,92.2,0.945,1,0,0,0,0
UEN/BA/2021/217,Kwesi Darko,Business Admin.,200,2,2.16,83.0,0.775,2,0,1,0,1
UEN/ME/2020/218,Adwoa Antwi,Mech. Engineering,100,1,2.84,96.1,0.851,0,0,0,0,0
UEN/BA/2023/219,Asante Ntiamoah,Business Admin.,400,2,3.34,100.0,1.079,2,0,0,0,0
UEN/CS/2022/220,Abena Quartey,Computer Science,300,2,3.27,94.6,0.854,0,0,0,0,0
UEN/BA/2022/221,Ohemaa Appiah,Business Admin.,300,2,2.08,47.1,0.607,2,0,1,0,1
UEN/BA/2023/222,Adjoa Mensah,Business Admin.,400,2,1.56,52.4,0.645,2,0,1,0,0
UEN/CS/2020/223,Esi Twumasi,Computer Science,100,1,4.0,86.2,0.953,1,0,0,0,0
UEN/CS/2022/224,Afia Asante,Computer Science,300,1,3.74,99.3,0.85,0,0,0,0,0
UEN/ME/2021/225,Kobby Kumi,Mech. Engineering,200,1,3.41,95.6,0.829,0,0,0,0,0
UEN/BA/2021/226,Maame Agyemang,Business Admin.,200,1,2.39,75.9,0.653,1,0,0,0,0
UEN/CS/2020/227,Kwame Darko,Computer Science,100,1,2.76,79.7,0.659,1,0,0,0,0
UEN/BA/2022/228,Ohemaa Amoah,Business Admin.,300,2,3.34,86.2,0.854,0,0,0,0,0
UEN/EE/2021/229,Adjoa Adjei,Electrical Eng.,200,2,2.7,88.7,1.02,1,0,0,0,0
UEN/ME/2021/230,Afia Appiah,Mech. Engineering,200,1,2.79,84.4,0.839,2,0,0,0,0
UEN/BA/2021/231,Yaw Quartey,Business Admin.,200,1,2.45,74.3,0.886,1,0,0,0,0
UEN/BA/2022/232,Ama Asante,Business Admin.,300,1,1.97,87.2,0.789,1,0,0,0,0
UEN/EE/2021/233,Kofi Ansah,Electrical Eng.,200,1,2.63,83.7,0.667,1,0,0,0,0
UEN/EE/2023/234,Owusu Antwi,Electrical Eng.,400,1,2.8,73.8,0.746,1,0,0,0,0
UEN/CS/2022/235,Kwesi Agyei,Computer Science,300,1,2.25,52.5,0.776,3,0,0,0,1
UEN/ME/2023/236,Kwesi Sarpong,Mech. Engineering,400,1,2.12,47.8,0.67,2,1,0,0,1
UEN/ME/2022/237,Abena Boateng,Mech. Engineering,300,2,3.4,100.0,0.935,0,0,0,0,0
UEN/ME/2021/238,Kwadwo Barimah,Mech. Engineering,200,2,2.95,100.0,0.898,1,0,0,0,0
UEN/EE/2023/239,Afia Addo,Electrical Eng.,400,1,3.79,98.2,1.084,0,0,0,0,0
UEN/ME/2023/240,Abena Danso,Mech. Engineering,400,1,1.87,60.3,0.449,2,0,0,0,1
UEN/ME/2022/241,Fiifi Danso,Mech. Engineering,300,1,3.46,100.0,1.055,0,0,0,0,0
UEN/CS/2021/242,Kwesi Asante,Computer Science,200,1,3.95,89.7,0.901,1,0,0,0,0
UEN/EE/2021/243,Akua Mensah,Electrical Eng.,200,2,3.39,93.9,1.155,0,0,0,0,0
UEN/CS/2020/244,Kwadwo Owusu,Computer Science,100,2,2.61,64.8,0.706,2,0,0,0,0
UEN/EE/2020/245,Kojo Darko,Electrical Eng.,100,1,3.24,80.7,0.929,0,0,0,0,0
UEN/CS/2021/246,Kwesi Osei,Computer Science,200,2,3.04,95.6,1.043,1,0,0,0,0
UEN/BA/2020/247,Kojo Ntiamoah,Business Admin.,100,2,3.51,89.8,0.974,1,0,0,0,0
UEN/BA/2022/248,Kweku Asante,Business Admin.,300,1,2.45,83.9,0.891,1,0,0,0,0
UEN/BA/2023/249,Nana Acheampong,Business Admin.,400,2,2.97,72.0,0.797,1,0,0,0,0
UEN/CS/2020/250,Poku Bonsu,Computer Science,100,2,2.19,77.3,0.7,1,0,0,0,0
UEN/ME/2021/251,Maame Ansah,Mech. Engineering,200,2,3.3,89.2,0.854,0,0,0,0,0
UEN/BA/2023/252,Owusu Danso,Business Admin.,400,2,2.18,84.0,0.874,1,0,0,0,0
UEN/CS/2020/253,Maame Kumi,Computer Science,100,1,3.58,100.0,0.795,1,0,0,0,0
